t,137793615.02999976
o,62807300.03000003
a,80286167.20999995
i,58728150.37999999
w,59531095.78000005
h,55999196.35000002
f,31903384.279999997
y,11037699.35
n,18355962.120000027
b,35594754.93000007
s,52575600.3000001
m,34123881.620000005
u,8933832.32
d,22656263.940000016
c,29137710.650000017
v,5072265.189999999
l,20155630.529999983
g,14422808.74
k,4658173.36
e,16717153.749999996
p,23743343.719999958
j,2873857.7600000007
r,16485452.49999999
q,1557556.6599999997
2,261293.62
4,155371.0
',119234.17
z,43955.34
1,65732.90999999999
3,20575.8
x,17802.89
5,11111.4
8,24395.350000000002
6,17481.690000000002
7,8596.46
9,8353.58
e,168022909.22999975
f,40255779.929999985
d,95566030.76999973
o,40883583.419999994
n,66594484.999999955
i,11929472.139999999
t,82273674.87000011
s,83530698.22000033
h,25143417.310000002
r,51786646.999999955
u,6565553.72
y,47458678.200000145
m,15506347.779999997
l,21577826.249999974
p,4704013.04
w,8138880.499999999
a,2978233.020000001
k,7946899.259999999
g,21185715.009999987
c,1475849.13
2,240009.0
x,542058.6499999999
',269695.72
4,149375.84
.,574559.06
q,75751.8
v,77582.44
b,415597.15000000014
z,11567.17
6,5601.23
1,9911.32
3,4189.05
-,4168.48
0,805904760.7100002
1,791605747.7700001
2,629887243.4299986
3,426629984.60000074
4,273973981.8500004
5,182408153.39999926
6,120070156.49000011
7,71476996.2500001
8,42106559.58000007
9,21284593.640000027
10,9426023.549999988
11,4165565.6499999994
12,1564750.37
13,502757.16000000015
14,93416.15
15,10538.7
